"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","104,500.00","104,500.00","107,000.00","102,000.00","","-2.79%"
"11/30/2023","107,500.00","107,500.00","110,000.00","105,000.00","","-1.83%"
"11/29/2023","109,500.00","109,500.00","112,000.00","107,000.00","","-2.67%"
"11/28/2023","112,500.00","112,500.00","115,000.00","110,000.00","","-4.26%"
"11/27/2023","117,500.00","117,500.00","120,000.00","115,000.00","","-2.49%"
"11/24/2023","120,500.00","120,500.00","123,000.00","118,000.00","","-2.43%"
"11/23/2023","123,500.00","123,500.00","126,000.00","121,000.00","","-2.37%"
"11/22/2023","126,500.00","126,500.00","129,000.00","124,000.00","","-2.32%"
"11/21/2023","129,500.00","129,500.00","132,000.00","127,000.00","","-1.52%"
"11/20/2023","131,500.00","131,500.00","134,000.00","129,000.00","","0.00%"
"11/17/2023","131,500.00","131,500.00","134,000.00","129,000.00","","-2.95%"
"11/16/2023","135,500.00","135,500.00","138,000.00","133,000.00","","-2.87%"
"11/15/2023","139,500.00","139,500.00","142,000.00","137,000.00","","-2.79%"
"11/14/2023","143,500.00","143,500.00","146,000.00","141,000.00","","-0.69%"
"11/13/2023","144,500.00","144,500.00","147,000.00","142,000.00","","0.00%"
"11/10/2023","144,500.00","144,500.00","147,000.00","142,000.00","","-2.03%"
"11/09/2023","147,500.00","147,500.00","150,000.00","145,000.00","","0.00%"
"11/08/2023","147,500.00","147,500.00","150,000.00","145,000.00","","-1.34%"
"11/07/2023","149,500.00","149,500.00","152,000.00","147,000.00","","-2.61%"
"11/06/2023","153,500.00","153,500.00","156,000.00","151,000.00","","-0.65%"
"11/03/2023","154,500.00","154,500.00","157,000.00","152,000.00","","0.00%"
"11/02/2023","154,500.00","154,500.00","157,000.00","152,000.00","","0.00%"
"11/01/2023","154,500.00","154,500.00","157,000.00","152,000.00","","0.00%"
"10/31/2023","154,500.00","154,500.00","157,000.00","152,000.00","","-0.64%"
"10/30/2023","155,500.00","155,500.00","158,000.00","153,000.00","","0.00%"
"10/27/2023","155,500.00","155,500.00","158,000.00","153,000.00","","-1.27%"
"10/26/2023","157,500.00","157,500.00","160,000.00","155,000.00","","-1.25%"
"10/25/2023","159,500.00","159,500.00","162,000.00","157,000.00","","1.27%"
"10/24/2023","157,500.00","157,500.00","160,000.00","155,000.00","","-0.63%"
"10/23/2023","158,500.00","158,500.00","161,000.00","156,000.00","","-2.46%"
"10/20/2023","162,500.00","162,500.00","165,000.00","160,000.00","","-0.61%"
"10/19/2023","163,500.00","163,500.00","166,000.00","161,000.00","","-1.21%"
"10/18/2023","165,500.00","165,500.00","168,000.00","163,000.00","","0.00%"
"10/17/2023","165,500.00","165,500.00","168,000.00","163,000.00","","1.85%"
"10/16/2023","162,500.00","162,500.00","165,000.00","160,000.00","","2.52%"
"10/13/2023","158,500.00","158,500.00","161,000.00","156,000.00","","1.93%"
"10/12/2023","155,500.00","155,500.00","158,000.00","153,000.00","","1.30%"
"10/11/2023","153,500.00","153,500.00","156,000.00","151,000.00","","0.00%"
"10/10/2023","153,500.00","153,500.00","156,000.00","151,000.00","","0.00%"
"10/09/2023","153,500.00","153,500.00","156,000.00","151,000.00","","0.00%"
"09/27/2023","153,500.00","153,500.00","156,000.00","151,000.00","","0.00%"
"09/26/2023","153,500.00","153,500.00","156,000.00","151,000.00","","0.00%"
"09/25/2023","153,500.00","153,500.00","156,000.00","151,000.00","","-1.29%"
"09/22/2023","155,500.00","155,500.00","158,000.00","153,000.00","","0.00%"
"09/21/2023","155,500.00","155,500.00","158,000.00","153,000.00","","-1.27%"
"09/20/2023","157,500.00","157,500.00","160,000.00","155,000.00","","-2.48%"
"09/19/2023","161,500.00","161,500.00","164,000.00","159,000.00","","-0.62%"
"09/18/2023","162,500.00","162,500.00","165,000.00","160,000.00","","-5.80%"
"09/14/2023","172,500.00","172,500.00","175,000.00","170,000.00","","-1.71%"
"09/13/2023","175,500.00","175,500.00","178,000.00","173,000.00","","-2.77%"
"09/12/2023","180,500.00","180,500.00","183,000.00","178,000.00","","-3.22%"
"09/11/2023","186,500.00","186,500.00","189,000.00","184,000.00","","-3.12%"
"09/08/2023","192,500.00","192,500.00","195,000.00","190,000.00","","0.00%"
"09/07/2023","192,500.00","192,500.00","195,000.00","190,000.00","","0.00%"
"09/06/2023","192,500.00","192,500.00","195,000.00","190,000.00","","-1.53%"
"09/05/2023","195,500.00","195,500.00","198,000.00","193,000.00","","0.00%"
"09/04/2023","195,500.00","195,500.00","198,000.00","193,000.00","","0.00%"
"09/01/2023","195,500.00","195,500.00","198,000.00","193,000.00","","0.00%"
"08/31/2023","195,500.00","195,500.00","198,000.00","193,000.00","","-1.01%"
"08/30/2023","197,500.00","197,500.00","200,000.00","195,000.00","","-1.99%"
"08/29/2023","201,500.00","201,500.00","204,000.00","199,000.00","","-0.49%"
"08/28/2023","202,500.00","202,500.00","205,000.00","200,000.00","","0.00%"
"08/25/2023","202,500.00","202,500.00","205,000.00","200,000.00","","0.00%"
"08/24/2023","202,500.00","202,500.00","205,000.00","200,000.00","","0.00%"
"08/23/2023","202,500.00","202,500.00","205,000.00","200,000.00","","0.00%"
"08/22/2023","202,500.00","202,500.00","205,000.00","200,000.00","","0.00%"
"08/21/2023","202,500.00","202,500.00","205,000.00","200,000.00","","-4.71%"
"08/18/2023","212,500.00","212,500.00","215,000.00","210,000.00","","-4.49%"
"08/17/2023","222,500.00","222,500.00","225,000.00","220,000.00","","-2.20%"
"08/16/2023","227,500.00","227,500.00","230,000.00","225,000.00","","-2.57%"
"08/15/2023","233,500.00","233,500.00","236,000.00","231,000.00","","-2.91%"
"08/14/2023","240,500.00","240,500.00","243,000.00","238,000.00","","-2.83%"
"08/11/2023","247,500.00","247,500.00","250,000.00","245,000.00","","0.00%"
"08/10/2023","247,500.00","247,500.00","250,000.00","245,000.00","","0.00%"
"08/09/2023","247,500.00","247,500.00","250,000.00","245,000.00","","-1.98%"
"08/08/2023","252,500.00","252,500.00","255,000.00","250,000.00","","-1.94%"
"08/07/2023","257,500.00","257,500.00","260,000.00","255,000.00","","0.00%"
"08/04/2023","257,500.00","257,500.00","260,000.00","255,000.00","","0.00%"
"08/03/2023","257,500.00","257,500.00","260,000.00","255,000.00","","0.00%"
"08/02/2023","257,500.00","257,500.00","260,000.00","255,000.00","","0.00%"
"08/01/2023","257,500.00","257,500.00","260,000.00","255,000.00","","0.00%"
"07/31/2023","257,500.00","257,500.00","260,000.00","255,000.00","","-1.90%"
"07/28/2023","262,500.00","262,500.00","265,000.00","260,000.00","","-2.96%"
"07/27/2023","270,500.00","270,500.00","273,000.00","268,000.00","","-1.81%"
"07/26/2023","275,500.00","275,500.00","278,000.00","273,000.00","","-1.78%"
"07/25/2023","280,500.00","280,500.00","283,000.00","278,000.00","","-2.43%"
"07/24/2023","287,500.00","287,500.00","290,000.00","285,000.00","","0.00%"
"07/21/2023","287,500.00","287,500.00","290,000.00","285,000.00","","-1.71%"
"07/20/2023","292,500.00","292,500.00","295,000.00","290,000.00","","0.00%"
"07/19/2023","292,500.00","292,500.00","295,000.00","290,000.00","","0.00%"
"07/18/2023","292,500.00","292,500.00","295,000.00","290,000.00","","-1.68%"
"07/17/2023","297,500.00","297,500.00","300,000.00","295,000.00","","0.00%"
"07/14/2023","297,500.00","297,500.00","300,000.00","295,000.00","","0.00%"
"07/13/2023","297,500.00","297,500.00","300,000.00","295,000.00","","-1.65%"
"07/12/2023","302,500.00","302,500.00","305,000.00","300,000.00","","0.00%"
"07/11/2023","302,500.00","302,500.00","305,000.00","300,000.00","","0.00%"
"07/10/2023","302,500.00","302,500.00","305,000.00","300,000.00","","0.00%"
"07/07/2023","302,500.00","302,500.00","305,000.00","300,000.00","","0.00%"
"07/06/2023","302,500.00","302,500.00","305,000.00","300,000.00","","0.00%"
"07/05/2023","302,500.00","302,500.00","305,000.00","300,000.00","","0.00%"
"07/04/2023","302,500.00","302,500.00","305,000.00","300,000.00","","0.00%"
"07/03/2023","302,500.00","302,500.00","305,000.00","300,000.00","","0.00%"
"06/30/2023","302,500.00","302,500.00","305,000.00","300,000.00","","0.00%"
"06/29/2023","302,500.00","302,500.00","305,000.00","300,000.00","","0.00%"
"06/28/2023","302,500.00","302,500.00","305,000.00","300,000.00","","0.00%"
"06/27/2023","302,500.00","302,500.00","305,000.00","300,000.00","","-0.66%"
"06/26/2023","304,500.00","304,500.00","307,000.00","302,000.00","","0.00%"
"06/21/2023","304,500.00","304,500.00","307,000.00","302,000.00","","-0.33%"
"06/20/2023","305,500.00","305,500.00","308,000.00","303,000.00","","0.00%"
"06/19/2023","305,500.00","305,500.00","308,000.00","303,000.00","","0.00%"
"06/16/2023","305,500.00","305,500.00","308,000.00","303,000.00","","0.00%"
"06/15/2023","305,500.00","305,500.00","308,000.00","303,000.00","","0.00%"
"06/14/2023","305,500.00","305,500.00","308,000.00","303,000.00","","0.00%"
"06/13/2023","305,500.00","305,500.00","308,000.00","303,000.00","","0.00%"
"06/12/2023","305,500.00","305,500.00","308,000.00","303,000.00","","0.00%"
"06/09/2023","305,500.00","305,500.00","308,000.00","303,000.00","","1.66%"
"06/08/2023","300,500.00","300,500.00","303,000.00","298,000.00","","2.74%"
"06/07/2023","292,500.00","292,500.00","295,000.00","290,000.00","","0.00%"
"06/06/2023","292,500.00","292,500.00","295,000.00","290,000.00","","0.00%"
"06/05/2023","292,500.00","292,500.00","295,000.00","290,000.00","","1.74%"
"06/02/2023","287,500.00","287,500.00","290,000.00","285,000.00","","2.50%"
"06/01/2023","280,500.00","280,500.00","283,000.00","278,000.00","","0.00%"
"05/31/2023","280,500.00","280,500.00","283,000.00","278,000.00","","0.00%"
"05/30/2023","280,500.00","280,500.00","283,000.00","278,000.00","","0.00%"
"05/29/2023","280,500.00","280,500.00","283,000.00","278,000.00","","0.00%"
"05/26/2023","280,500.00","280,500.00","283,000.00","278,000.00","","0.00%"
"05/25/2023","280,500.00","280,500.00","283,000.00","278,000.00","","-0.71%"
"05/24/2023","282,500.00","282,500.00","285,000.00","280,000.00","","0.00%"
"05/23/2023","282,500.00","282,500.00","285,000.00","280,000.00","","5.61%"
"05/22/2023","267,500.00","267,500.00","270,000.00","265,000.00","","8.08%"
"05/19/2023","247,500.00","247,500.00","250,000.00","245,000.00","","6.45%"
"05/18/2023","232,500.00","232,500.00","235,000.00","230,000.00","","5.92%"
"05/17/2023","219,500.00","219,500.00","222,000.00","217,000.00","","4.77%"
"05/16/2023","209,500.00","209,500.00","212,000.00","207,000.00","","5.01%"
"05/15/2023","199,500.00","199,500.00","202,000.00","197,000.00","","5.28%"
