Date,Operating Income
9/30/2023,1764.00
6/30/2023,2399.00
3/31/2023,2664.00
12/31/2022,3901.00
9/30/2022,3688.00
6/30/2022,2464.00
3/31/2022,3603.00
12/31/2021,2613.00
9/30/2021,2004.00
6/30/2021,1312.00
3/31/2021,594.00
12/31/2020,575.00
9/30/2020,809.00
6/30/2020,327.00
3/31/2020,283.00
12/31/2019,359.00
9/30/2019,261.00
6/30/2019,-167.00
3/31/2019,-522.00
12/31/2018,414.00
9/30/2018,416.00
6/30/2018,-621.00
3/31/2018,-597.00
12/31/2017,-598.00
9/30/2017,-535.00
6/30/2017,-241.00
3/31/2017,-258.00
12/31/2016,-267.00
9/30/2016,86.00
6/30/2016,-238.00
3/31/2016,-248.00
12/31/2015,-260.00
9/30/2015,-184.00
6/30/2015,-170.00
3/31/2015,-102.00
12/31/2014,-75.00
9/30/2014,-39.00
6/30/2014,-29.00
3/31/2014,-44.00
12/31/2013,-13.00
9/30/2013,-31.00
6/30/2013,-12.00
3/31/2013,-6.00
12/31/2012,-91.00
9/30/2012,-108.00
6/30/2012,-106.00
3/31/2012,-89.00
12/31/2011,-81.00
9/30/2011,-64.00
6/30/2011,-59.00
3/31/2011,-47.00
12/31/2010,-52.00
9/30/2010,-38.00
6/30/2010,-31.00
3/31/2010,-26.00
12/31/2009,
9/30/2009,-4.00
6/30/2009,-8.00
