Date,Operating Income
6/30/2023,6106.00
3/31/2023,6168.00
12/31/2022,4876.00
9/30/2022,4300.00
6/30/2022,4793.00
3/31/2022,9341.00
12/31/2021,6051.00
9/30/2021,3061.00
6/30/2021,7890.00
3/31/2021,5803.00
12/31/2020,8970.00
9/30/2020,3721.00
6/30/2020,-2636.00
3/31/2020,997.00
12/31/2019,3786.00
9/30/2019,5051.00
6/30/2019,5765.00
3/31/2019,4393.00
12/31/2018,4366.00
9/30/2018,3152.00
6/30/2018,4710.00
3/31/2018,4212.00
12/31/2017,2725.00
9/30/2017,1721.00
6/30/2017,5005.00
3/31/2017,4368.00
12/31/2016,-1545.00
9/30/2016,3309.00
6/30/2016,1898.00
3/31/2016,3441.00
12/31/2015,-8262.00
9/30/2015,-3871.00
6/30/2015,3863.00
3/31/2015,3756.00
12/31/2014,4113.00
9/30/2014,4285.00
6/30/2014,4568.00
3/31/2014,3913.00
12/31/2013,4239.00
9/30/2013,3680.00
6/30/2013,4487.00
3/31/2013,3096.00
12/31/2012,3446.00
9/30/2012,2931.00
6/30/2012,4219.00
3/31/2012,4207.00
12/31/2011,3057.00
9/30/2011,4093.00
6/30/2011,4567.00
3/31/2011,3981.00
12/31/2010,3206.00
9/30/2010,2561.00
6/30/2010,2542.00
3/31/2010,1175.00
12/31/2009,519.00
9/30/2009,397.00
6/30/2009,1263.00
3/31/2009,408.00
